epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,5062.63,0.57772,0.79021,0.11167,0.2165,0.70635,0.24421,0.12389,0.47772,0.84216,0.0991,0.005842,0.005842,0.005842
44,5179.01,0.62594,0.7557,0.12693,0.23382,0.61407,0.21748,0.07935,0.62953,0.76167,0.15473,0.005743,0.005743,0.005743
45,5294.42,0.64939,0.72756,0.12475,0.24469,0.64341,0.27191,0.13723,0.4982,0.83089,0.09629,0.005644,0.005644,0.005644
46,5409.7,0.64087,0.72057,0.1268,0.29153,0.66613,0.33597,0.13836,0.61833,0.70108,0.12915,0.005545,0.005545,0.005545
47,5526.26,0.59834,0.76401,0.1166,0.2459,0.69722,0.30138,0.17199,0.43249,0.85554,0.08699,0.005446,0.005446,0.005446
48,5641.97,0.5757,0.77906,0.10688,0.22883,0.69156,0.24438,0.10907,0.52575,0.83462,0.09622,0.005347,0.005347,0.005347
49,5755.78,0.60549,0.75898,0.11643,0.37071,0.6868,0.39027,0.18246,0.52464,0.75279,0.09676,0.005248,0.005248,0.005248
50,5870.62,0.68211,0.70052,0.1176,0.39218,0.63499,0.40715,0.15926,0.59079,0.69987,0.11134,0.005149,0.005149,0.005149
51,5985.54,0.62894,0.69628,0.12073,0.29903,0.63456,0.3447,0.1234,0.66255,0.714,0.1127,0.00505,0.00505,0.00505
52,6100.68,0.64242,0.72736,0.12817,0.30862,0.6284,0.33882,0.18089,0.48139,0.79038,0.09994,0.004951,0.004951,0.004951
53,6215.41,0.64466,0.71742,0.12286,0.28798,0.63696,0.30209,0.14947,0.51724,0.77077,0.10188,0.004852,0.004852,0.004852
54,6330.51,0.60908,0.73404,0.11868,0.35983,0.65276,0.405,0.21025,0.51957,0.72607,0.10646,0.004753,0.004753,0.004753
55,6447.02,0.57628,0.71282,0.11759,0.38515,0.67989,0.42936,0.22628,0.49974,0.73994,0.10087,0.004654,0.004654,0.004654
56,6562.87,0.60897,0.651,0.12527,0.54589,0.65746,0.50485,0.2612,0.53103,0.64827,0.12011,0.004555,0.004555,0.004555
57,6678.67,0.65055,0.66601,0.13597,0.63944,0.65172,0.57644,0.28446,0.5549,0.6591,0.11116,0.004456,0.004456,0.004456
58,6794.95,0.68333,0.64664,0.1456,0.36477,0.66082,0.33224,0.14156,0.61047,0.75681,0.11759,0.004357,0.004357,0.004357
59,113.498,0.70005,0.68124,0.14914,0.46775,0.50943,0.33742,0.12181,0.70806,0.6627,0.14602,0.004258,0.004258,0.004258
60,227.203,0.75611,0.63386,0.16762,0.5461,0.66766,0.53318,0.27043,0.54961,0.62577,0.11828,0.004159,0.004159,0.004159
61,341.682,0.75193,0.64455,0.17055,0.28607,0.53428,0.30222,0.13474,0.64886,0.75483,0.13571,0.00406,0.00406,0.00406
62,456.977,0.74011,0.75545,0.1648,0.2239,0.5233,0.22512,0.10221,0.57183,0.86241,0.11839,0.003961,0.003961,0.003961
63,573.089,0.71489,0.6964,0.15481,0.33563,0.55902,0.3279,0.1523,0.57086,0.74899,0.12688,0.003862,0.003862,0.003862
64,688.842,0.68507,0.6818,0.15341,0.4939,0.62109,0.44326,0.22768,0.56333,0.70445,0.13289,0.003763,0.003763,0.003763
65,806.027,0.71057,0.694,0.16464,0.32376,0.48571,0.28406,0.12243,0.6374,0.76455,0.14184,0.003664,0.003664,0.003664
66,922.652,0.79539,0.72618,0.19685,0.30627,0.50261,0.27263,0.11053,0.63232,0.77706,0.13531,0.003565,0.003565,0.003565
67,1039.27,0.81205,0.71298,0.18654,0.28313,0.53435,0.28532,0.10397,0.68689,0.7247,0.14481,0.003466,0.003466,0.003466
68,1155.7,0.88699,0.63944,0.20939,0.26283,0.48447,0.24816,0.09108,0.70964,0.73467,0.17638,0.003367,0.003367,0.003367
69,1272.16,0.86531,0.68903,0.22584,0.2355,0.47554,0.20764,0.08874,0.67243,0.77081,0.16918,0.003268,0.003268,0.003268
70,1388.55,0.85286,0.68584,0.21496,0.24882,0.51771,0.24537,0.10124,0.66892,0.76688,0.15447,0.003169,0.003169,0.003169
71,1504.79,0.79204,0.72653,0.19365,0.25168,0.55413,0.25455,0.09946,0.64175,0.77682,0.14545,0.00307,0.00307,0.00307
72,1621.12,0.76222,0.71177,0.17987,0.30248,0.56763,0.29972,0.13076,0.59934,0.7509,0.12981,0.002971,0.002971,0.002971
73,1737.64,0.76025,0.69348,0.17232,0.3391,0.59049,0.34226,0.15857,0.58291,0.7492,0.12476,0.002872,0.002872,0.002872
74,1854.65,0.70452,0.70357,0.16257,0.34891,0.66012,0.37697,0.17069,0.58365,0.74697,0.12319,0.002773,0.002773,0.002773
75,1976.17,0.69433,0.692,0.15271,0.36022,0.63146,0.37952,0.19016,0.5456,0.75456,0.12438,0.002674,0.002674,0.002674
76,2092.25,0.70347,0.67651,0.1489,0.42321,0.61961,0.43095,0.20693,0.57945,0.689,0.12764,0.002575,0.002575,0.002575
77,2239.85,0.67229,0.72302,0.14778,0.33697,0.63554,0.33171,0.1592,0.5583,0.73131,0.11999,0.002476,0.002476,0.002476
78,2388.07,0.65077,0.69602,0.13591,0.34856,0.69053,0.37852,0.19661,0.52513,0.74024,0.11332,0.002377,0.002377,0.002377
79,2535.68,0.6647,0.69533,0.14178,0.54362,0.63246,0.51271,0.21967,0.61257,0.63967,0.12821,0.002278,0.002278,0.002278
80,2685.08,0.66448,0.65924,0.14405,0.46094,0.68476,0.48999,0.25577,0.5318,0.66821,0.11471,0.002179,0.002179,0.002179
81,2972.09,0.62776,0.62873,0.13331,0.60558,0.70581,0.56618,0.30117,0.53842,0.63074,0.11988,0.00208,0.00208,0.00208
82,3323.23,0.6549,0.70427,0.14231,0.32609,0.68471,0.33198,0.16824,0.5508,0.87712,0.12776,0.001981,0.001981,0.001981
83,3674.24,0.68802,0.70561,0.15155,0.53151,0.60405,0.46253,0.22637,0.57408,0.73349,0.13656,0.001882,0.001882,0.001882
84,4025.09,0.7049,0.67,0.15901,0.52124,0.62823,0.51839,0.24216,0.60672,0.69828,0.13919,0.001783,0.001783,0.001783
85,4376.09,0.69369,0.6427,0.15812,0.54832,0.63281,0.52112,0.24967,0.5956,0.65338,0.13658,0.001684,0.001684,0.001684
86,4500.39,0.67902,0.63649,0.14927,0.60402,0.65056,0.55234,0.27419,0.56895,0.63537,0.12627,0.001585,0.001585,0.001585
87,4624.61,0.684,0.62543,0.14981,0.62619,0.66047,0.54592,0.26489,0.57921,0.64355,0.13842,0.001486,0.001486,0.001486
88,4753.49,0.68387,0.61945,0.15813,0.59072,0.69403,0.53306,0.25529,0.57201,0.63925,0.12992,0.001387,0.001387,0.001387
89,4882.59,0.66323,0.61667,0.14737,0.56813,0.70407,0.51835,0.25434,0.56617,0.63291,0.12347,0.001288,0.001288,0.001288
90,5015.45,0.6557,0.60914,0.14863,0.57981,0.71891,0.54804,0.2773,0.54987,0.62655,0.12523,0.001189,0.001189,0.001189
91,5157.84,0.60032,0.62313,0.12745,0.67902,0.66507,0.60379,0.29743,0.56737,0.62907,0.12993,0.00109,0.00109,0.00109
92,5285.09,0.58328,0.61931,0.12109,0.70106,0.64438,0.60704,0.30711,0.5518,0.62329,0.12241,0.000991,0.000991,0.000991
93,5409.88,0.58336,0.6035,0.118,0.67287,0.70659,0.62842,0.33318,0.53139,0.61553,0.11989,0.000892,0.000892,0.000892
94,5534.44,0.56204,0.61659,0.11528,0.60138,0.73876,0.59017,0.31658,0.53406,0.62361,0.12127,0.000793,0.000793,0.000793
95,5658.17,0.55593,0.60664,0.11766,0.56915,0.74611,0.55118,0.29601,0.54082,0.61436,0.12749,0.000694,0.000694,0.000694
96,5781.58,0.56803,0.59442,0.11429,0.56721,0.75024,0.56386,0.29157,0.54837,0.60435,0.12509,0.000595,0.000595,0.000595
97,5905.02,0.54713,0.58944,0.11072,0.59857,0.77059,0.58577,0.32346,0.519,0.59379,0.1199,0.000496,0.000496,0.000496
98,6029.01,0.53671,0.58917,0.10878,0.60959,0.76282,0.59915,0.32756,0.52261,0.59296,0.11746,0.000397,0.000397,0.000397
99,6153.33,0.53857,0.5916,0.1065,0.6282,0.75856,0.62017,0.34601,0.51041,0.59046,0.11552,0.000298,0.000298,0.000298
100,6278.12,0.53177,0.58678,0.10638,0.63656,0.75521,0.62351,0.34681,0.5082,0.59092,0.11448,0.000199,0.000199,0.000199
